number,title,airdate,viewers_for_first_airing,production_order,viewers,season,title_under
1,The Magic Xylophone,1 October 2018,N/A,5,NA,1,The_Magic_Xylophone
2,Hospital,2 October 2018,"141,000[1]",29,141000,1,Hospital
3,Keepy Uppy,3 October 2018,"122,000[2]",19,122000,1,Keepy_Uppy
4,Daddy Robot,4 October 2018,"177,000[3]",13,177000,1,Daddy_Robot
5,Shadowlands,5 October 2018,"156,000[4]",15,156000,1,Shadowlands
6,The Weekend,6 October 2018,"153,000[5]",18,153000,1,The_Weekend
7,BBQ,7 October 2018,"109,000[6]",23,109000,1,BBQ
8,Fruitbat,8 October 2018,"169,000[7]",17,169000,1,Fruitbat
9,Horsey Ride,9 October 2018,"162,000[8]",14,162000,1,Horsey_Ride
10,Hotel,10 October 2018,"140,000[9]",3,140000,1,Hotel
11,Bike,11 October 2018,"135,000[10]",12,135000,1,Bike
12,Bob Bilby,12 October 2018,"177,000[11]",16,177000,1,Bob_Bilby
13,Spy Game,13 October 2018,"154,000[12]",22,154000,1,Spy_Game
14,Takeaway,14 October 2018,"159,000[13]",4,159000,1,Takeaway
15,Butterflies,15 October 2018,"153,000[14]",24,153000,1,Butterflies
16,Yoga Ball,16 October 2018,"151,000[15]",1,151000,1,Yoga_Ball
17,Calypso,17 October 2018,"124,000[16]",27,124000,1,Calypso
18,The Doctor,18 October 2018,"153,000[17]",21,153000,1,The_Doctor
19,The Claw,19 October 2018,"183,000[18]",6,183000,1,The_Claw
20,Markets,20 October 2018,"120,000[19]",26,120000,1,Markets
21,Blue Mountains,21 October 2018,"155,000[20]",20,155000,1,Blue_Mountains
22,The Pool,22 October 2018,"139,000[21]",8,139000,1,The_Pool
23,Shops,23 October 2018,"155,000[22]",25,155000,1,Shops
24,Wagon Ride,24 October 2018,"120,000[23]",9,120000,1,Wagon_Ride
25,Taxi,25 October 2018,"153,000[24]",11,153000,1,Taxi
26,The Beach,26 October 2018,"157,000[25]",10,157000,1,The_Beach
27,Pirates,1 April 2019,"166,000[26]",49,166000,1,Pirates
28,Grannies,2 April 2019,"214,000[27]",40,214000,1,Grannies
29,The Creek,3 April 2019,"189,000[28]",32,189000,1,The_Creek
30,Fairies,4 April 2019,"194,000[29]",43,194000,1,Fairies
31,Work,5 April 2019,"198,000[30]",37,198000,1,Work
32,Bumpy and the Wise Old Wolfhound,6 April 2019,"196,000[31]",34,196000,1,Bumpy_and_the_Wise_Old_Wolfhound
33,Trampoline,7 April 2019,"261,000[32]",31,261000,1,Trampoline
34,The Dump,8 April 2019,"233,000[33]",50,233000,1,The_Dump
35,Zoo,9 April 2019,"217,000[34]",41,217000,1,Zoo
36,Backpackers,10 April 2019,"257,000[35]",28,257000,1,Backpackers
37,The Adventure,11 April 2019,"243,000[36]",46,243000,1,The_Adventure
38,Copycat,12 April 2019,"313,000[37]",48,313000,1,Copycat
39,The Sleepover,13 April 2019,"191,000[38]",47,191000,1,The_Sleepover
40,Early Baby,14 April 2019,"255,000[39]",35,255000,1,Early_Baby
41,Mums and Dads,15 April 2019,"231,000[40]",44,231000,1,Mums_and_Dads
42,Hide and Seek,16 April 2019,"229,000[41]",39,229000,1,Hide_and_Seek
43,Camping,17 April 2019,"270,000[42]",51,270000,1,Camping
44,Mount Mumandad,18 April 2019,"261,000[43]",30,261000,1,Mount_Mumandad
45,Kids,19 April 2019,"269,000[44]",38,269000,1,Kids
46,Chickenrat,20 April 2019,"242,000[45]",7,242000,1,Chickenrat
47,Neighbours,21 April 2019,"195,000[46]",33,195000,1,Neighbours
48,Teasing,22 April 2019,"187,000[47]",2,187000,1,Teasing
49,Asparagus,23 April 2019,"157,000[48]",42,157000,1,Asparagus
50,Shaun,24 April 2019,"172,000[49]",36,172000,1,Shaun
51,Daddy Putdown,25 April 2019,"149,000[50]",45,149000,1,Daddy_Putdown
52,Verandah Santa,12 December 2019,"207,000[51]",52,207000,1,Verandah_Santa
1,Dance Mode,17 March 2020,"458,000[52]",20,458000,2,Dance_Mode
2,Hammerbarn,18 March 2020,"338,000[53]",17,338000,2,Hammerbarn
3,Featherwand,19 March 2020,"381,000[54]",16,381000,2,Featherwand
4,Squash,20 March 2020,"351,000[55]",5,351000,2,Squash
5,Hairdressers,21 March 2020,"361,000[56]",1,361000,2,Hairdressers
6,Stumpfest,22 March 2020,"343,000[57]",8,343000,2,Stumpfest
7,Favourite Thing,23 March 2020,"303,000[58]",3,303000,2,Favourite_Thing
8,Daddy Dropoff,24 March 2020,"192,000[59]",15,192000,2,Daddy_Dropoff
9,Bingo,25 March 2020,"195,000[60]",18,195000,2,Bingo
10,Rug Island,26 March 2020,"191,000[61]",7,191000,2,Rug_Island
11,Charades,27 March 2020,"310,000[62]",2,310000,2,Charades
12,Sticky Gecko,28 March 2020,"206,000[63]",4,206000,2,Sticky_Gecko
